Grupo Empresarial;Código;Descrição;Conta Contábil;
FECD;FECD001.1.4.02.033;BANCO ITAÚ C/C 14.353-3 - WHO - GILBERTO KAC;35001005;
FECD;GRANT001.1.1.01.09;FIXAÇÃO E CAPACITAÇÃO DE RECURSOS HUMANOS - FUNDOS SETORIAIS - (SET - A);21701004;
FECD;PROJ001.1.1.10.01;SALÁRIOS;21501019;
FECD;A1.2.2.01;Bolsa Mestrado - A definir (mês);21301023;
FECD;IMP004.52;APLICACAO ;21104002;
FECD;PROJ001.1.3.01.03;(-) RETRAÇÃO;21402002;
FECD;PROJ002.1.1.03.02;PASSAGENS INTERNACIONAIS;21504024;
FECD;PROJ001.1.1.02.02;DIÁRIAS INTERNACIONAIS;21501005;
FECD;PROJ002.1.1.02.03;DIÁRIAS DE CAMPO;21501005;
FECD;FECD001.1.4.03.002;BANCO DO BRASIL C/C 10.274-1 - FUNB COST ROCHO;35001004;
FECD;FECD001.1.1.07.02;DESPESAS BANCÁRIAS;45006002;
FECD;FECD001.1.1.07.10;PEQUENAS REFORMAS;45005012;
FECD;PROJ001.1.1.07.20;INTERNET;21503001;
FECD;PROJ001.1.1.04.01;REAGENTES;21504021;
FECD;A2.2.1.02;Impressões, confecção brindes (Projeto Praia com Vida);21307004;
FECD;FECD001.1.1.02.03;DIÁRIAS DE CAMPO;45005023;
FECD;FECD001.1.4.02.001;BANCO DO BRASIL C/C 10.786-7 - IBCCF F NEWTON APCAL;35001005;
FECD;A1.3.3.02;Notebook ou Desktop (1 un.);21304004;
FECD;FECD001.1.1.10.07;PERICULOSIDADE;45001002;
FECD;IMP004.03;FRETE INTERNACIONAL;21104002;
FECD;TEP001.1.1.01.01;INICIAÇÃO CIENTÍFICA;21301023;
FECD;FECD001.1.4.01.009;BANCO DO BRASIL C/C 10.798-0 - IBCCF LABGENEST;35001006;
FECD;PROJ001.1.1.04.99;PERDAS EM COMPRAS DE MATERIAL DE CONSUMO NACIONAL;21504019;
FECD;GRANT001.1.2.02.01;MÓVEIS E UTENSÍLIOS;21704004;
FECD;A1.4.1.04;Desembolso - Materiais de uso e consumo;21304015;
FECD;GRANT001.1.1.03.01;PASSAGENS NACIONAIS;21704024;
FECD;GRANT001.1.1.07.07;ISS;21706004;
FECD;A1.3.3.04;Desembolso passagens internacionais;21304024;
FECD;1.2.1;Serviços Profissionais de Pessoa Jurídica;21302003;
FECD;A1.1.1.01;Acessórios para drone (1 Câmera muletiespectral, 2 baterias, 1 memória, 1 case/mochila, 1 Painel calibração reflectância);21304004;
FECD;FECD001.1.1.01.04;PÓS DOUTORADO;45005004;
FECD;GRANT001.1.1.07.06;SEQUENCIAMENTOS;21702003;
FECD;IMP004.04;DESPESA C/ DESEMBARAÇO;21104002;
FECD;PROJ001.1.1.07.11;INFORMÁTICA;21507012;
FECD;FECD001.1.4.03.005;BANCO DO BRASIL C/C 37.526-8 - RIBHAC EMBRAPA;35001009;
FECD;TEP001.1.1.04.07;MATERIAL DE INFORMÁTICA;21307008;
FECD;FECD001.1.4.01.022;BANCO DO BRASIL C/C 39.586-2 - BIOTERIO IMPPG;35001006;
FECD;FECD001.1.1.11.01;TARIFAS BANCÁRIAS;45006002;
FECD;A1.5.2.04;Salários, Encargos e Benefícios;21301038;
FECD;TEP001.1.1.07.01;PRESTAÇÃO DE SERVIÇOS ;21302003;
FECD;A1.4.1.09;Veículos terrestres e acessórios;21304004;
FECD;FECD001.1.4.01.014;BANCO DO BRASIL C/C 19.027-6 - LMCP;35001006;
FECD;FECD001.1.4.01.041;BANCO ITAU C/C 14.407-7 - PRODIET;35001006;
FECD;PROJ001.1.1.10.13;VALE REFEIÇÃO - PROJETOS;21501024;
FECD;1.5.2;Material de Expediente e Suprimentos de Informatica;21307008;
FECD;FECD001.1.4.01.028;BANCO DO BRASIL C/C 8.582-0 - SIMPO FAC FARMACI (P;35001006;
FECD;FECD001.1.4.01.033;BANCO ITAÚ C/C 14.288-1 - CRISTAL;35001006;
FECD;FECD001.1.1.07.17;LOCOMOÇÃO URBANA;45005020;
FECD;FECD001.1.4.01.036;BANCO ITAÚ C/C 14.352-5 - INCT - TK;35001006;
FECD;A1.1.5.01;Bolsa Mestrado;21301023;
FECD;FECD001.1.4.02.004;BANCO ITAÚ C/C 14.373-1 - PROFª CARLA HOLANDINO;35001005;
FECD;FECD001.1.4.01.004;BANCO DO BRASIL C/C 10.784-0 - BIOTÉRIO DECANIA CCS;35001006;
FECD;FECD001.1.4.01.013;BANCO DO BRASIL C/C 10.807-3 - IBQM LBAH PL;35001006;
FECD;FECD001.1.4.01.042;BANCO ITAU C/C 15.002-5 - SEQUENCIAMEN.DE DNA;35001006;
FECD;PROJ001.1.1.07.25;FRETE;21504010;
FECD;A1.4.1.02;Bolsa Mestrado;21301023;
